crowd_problem_id,Case,Clip,chosen_answer,crowd_label,crowd_agreement,expert_problem_id,gs_label,gs_agreement,split,expert_user_id,expert_chosen_answer
7678568,Case-043,17,"['1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines']",confluent b-lines,0.545454545,7293588,1 or more discrete b-lines,0.666666667,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines']"
7678574,Case-069,14,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293594,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678586,Case-051,14,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293606,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678588,Case-026,22,"['confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.875,7293608,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678590,Case-060,20,"['confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines']",1 or more discrete b-lines,0.6,7293610,1 or more discrete b-lines,0.833333333,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines']"
7678600,Case-030,23,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293620,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678601,Case-014,10,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293621,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678602,Case-049,20,"['confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines']",confluent b-lines,0.774193548,7293622,confluent b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']"
7678608,Case-083,20,"['confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'no b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', 'confluent b-lines']",1 or more discrete b-lines,0.476190476,7293628,1 or more discrete b-lines,0.666666667,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines']"
7678614,Case-039,17,"['confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']",confluent b-lines,1,7293634,confluent b-lines,0.833333333,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']"
7678621,Case-050,21,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293641,no b-lines,0.833333333,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678626,Case-050,17,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293646,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678630,Case-048,35,"['no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines']",no b-lines,0.666666667,7293650,no b-lines,0.833333333,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines']"
7678632,Case-016,14,"['confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'no b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'no b-lines', 'confluent b-lines']",confluent b-lines,0.740740741,7293652,confluent b-lines,0.5,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines']"
7678641,Case-022,29,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293661,no b-lines,0.833333333,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678642,Case-006,6,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines']",no b-lines,0.857142857,7293662,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678651,Case-069,12,"['no b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines']",confluent b-lines,0.6,7293671,1 or more discrete b-lines,0.5,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines']"
7678652,Case-051,10,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293672,no b-lines,0.833333333,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678660,Case-062,26,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.977272727,7293680,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678661,Case-015,8,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines']",no b-lines,0.864864865,7293681,1 or more discrete b-lines,0.5,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines']"
7678670,Case-047,15,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines']",no b-lines,0.904761905,7293690,no b-lines,0.833333333,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines']"
7678671,Case-081,29,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293691,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678673,Case-061,37,"['confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', 'confluent b-lines']",confluent b-lines,0.911764706,7293693,confluent b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines', 'confluent b-lines']"
7678676,Case-066,1,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines']",no b-lines,0.833333333,7293696,no b-lines,0.666666667,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', '1 or more discrete b-lines']"
7678677,Case-061,38,"['1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines']",1 or more discrete b-lines,0.882352941,7293697,1 or more discrete b-lines,0.833333333,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['1 or more discrete b-lines', '1 or more discrete b-lines', 'confluent b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines', '1 or more discrete b-lines']"
7678679,Case-047,14,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', '1 or more discrete b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines']",no b-lines,0.957446809,7293699,no b-lines,0.833333333,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'confluent b-lines', 'no b-lines', 'no b-lines']"
7678682,Case-081,30,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293702,no b-lines,1,test,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
7678687,Case-038,20,"['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']",no b-lines,1,7293707,no b-lines,1,train,"[31771, 65108, 66504, 271422, 271423, 272913]","['no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines', 'no b-lines']"
