Case ID,Case,Clip,Qualified Reads,Majority Label,label,split,Agreement,First Choice Answer,First Choice Votes,Second Choice Answer,Second Choice Votes,Third Choice Answer,Third Choice Votes
7678548,Case-020,8,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7678568,Case-043,17,11,'confluent b-lines',1,0,0.545,'confluent b-lines',6,'1 or more discrete b-lines',5,'no b-lines',0
7678574,Case-069,14,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7678588,Case-026,22,8,'no b-lines',0,0,0.875,'no b-lines',7,'confluent b-lines',1,'1 or more discrete b-lines',0
7678590,Case-060,20,10,'1 or more discrete b-lines',1,0,0.6,'1 or more discrete b-lines',6,'confluent b-lines',4,'no b-lines',0
7678600,Case-030,23,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7678602,Case-049,20,31,'confluent b-lines',1,0,0.774,'confluent b-lines',24,'1 or more discrete b-lines',7,'no b-lines',0
7678614,Case-039,17,31,'confluent b-lines',1,0,1,'confluent b-lines',31,'no b-lines',0,'1 or more discrete b-lines',0
7678630,Case-048,35,6,'no b-lines',0,0,0.667,'no b-lines',4,'1 or more discrete b-lines',2,'confluent b-lines',0
7678632,Case-016,14,27,'confluent b-lines',1,0,0.741,'confluent b-lines',20,'1 or more discrete b-lines',5,'no b-lines',2
7678641,Case-022,29,13,'no b-lines',0,0,1,'no b-lines',13,'confluent b-lines',0,'1 or more discrete b-lines',0
7678642,Case-006,6,7,'no b-lines',0,0,0.857,'no b-lines',6,'1 or more discrete b-lines',1,'confluent b-lines',0
7678651,Case-069,12,15,'confluent b-lines',1,0,0.6,'confluent b-lines',9,'1 or more discrete b-lines',5,'no b-lines',1
7678673,Case-061,37,34,'confluent b-lines',1,0,0.912,'confluent b-lines',31,'1 or more discrete b-lines',3,'no b-lines',0
7678676,Case-066,1,6,'no b-lines',0,0,0.833,'no b-lines',5,'1 or more discrete b-lines',1,'confluent b-lines',0
7678677,Case-061,38,17,'1 or more discrete b-lines',1,0,0.882,'1 or more discrete b-lines',15,'confluent b-lines',2,'no b-lines',0
7678687,Case-038,20,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7678713,Case-071,19,22,'confluent b-lines',1,0,0.591,'confluent b-lines',13,'1 or more discrete b-lines',8,'no b-lines',1
7678732,Case-022,18,3,'no b-lines',0,0,1,'no b-lines',3,'confluent b-lines',0,'1 or more discrete b-lines',0
7678740,Case-030,21,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7678750,Case-068,6,21,'1 or more discrete b-lines',1,0,1,'1 or more discrete b-lines',21,'no b-lines',0,'confluent b-lines',0
7678753,Case-076,3,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7678764,Case-022,27,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7678778,Case-066,13,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7678779,Case-049,14,21,'1 or more discrete b-lines',1,0,0.81,'1 or more discrete b-lines',17,'no b-lines',3,'confluent b-lines',1
7678835,Case-074,13,10,'no b-lines',0,0,1,'no b-lines',10,'confluent b-lines',0,'1 or more discrete b-lines',0
7678836,Case-048,38,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7678849,Case-035,4,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7678850,Case-013,24,29,'confluent b-lines',1,0,0.931,'confluent b-lines',27,'1 or more discrete b-lines',2,'no b-lines',0
7678880,Case-080,20,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7678889,Case-072,4,17,'confluent b-lines',1,0,0.647,'confluent b-lines',11,'1 or more discrete b-lines',6,'no b-lines',0
7678903,Case-087,6,25,'confluent b-lines',1,0,0.84,'confluent b-lines',21,'1 or more discrete b-lines',4,'no b-lines',0
7678904,Case-067,14,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7678905,Case-030,13,11,'no b-lines',0,0,1,'no b-lines',11,'confluent b-lines',0,'1 or more discrete b-lines',0
7678915,Case-060,24,3,'no b-lines',0,0,0.667,'no b-lines',2,'1 or more discrete b-lines',1,'confluent b-lines',0
7678921,Case-087,7,19,'1 or more discrete b-lines',1,0,0.579,'1 or more discrete b-lines',11,'confluent b-lines',8,'no b-lines',0
7678940,Case-087,14,13,'no b-lines',0,0,1,'no b-lines',13,'confluent b-lines',0,'1 or more discrete b-lines',0
7678943,Case-071,23,21,'1 or more discrete b-lines',1,0,0.714,'1 or more discrete b-lines',15,'confluent b-lines',4,'no b-lines',2
7678977,Case-068,5,15,'1 or more discrete b-lines',1,0,0.8,'1 or more discrete b-lines',12,'confluent b-lines',3,'no b-lines',0
7678982,Case-043,25,6,'no b-lines',0,0,0.833,'no b-lines',5,'1 or more discrete b-lines',1,'confluent b-lines',0
7678994,Case-060,19,19,'1 or more discrete b-lines',1,0,0.947,'1 or more discrete b-lines',18,'confluent b-lines',1,'no b-lines',0
7679002,Case-039,14,32,'confluent b-lines',1,0,0.969,'confluent b-lines',31,'1 or more discrete b-lines',1,'no b-lines',0
7679034,Case-088,7,6,'no b-lines',0,0,0.833,'no b-lines',5,'1 or more discrete b-lines',1,'confluent b-lines',0
7679038,Case-069,11,10,'no b-lines',0,0,1,'no b-lines',10,'confluent b-lines',0,'1 or more discrete b-lines',0
7679057,Case-035,3,12,'no b-lines',0,0,1,'no b-lines',12,'confluent b-lines',0,'1 or more discrete b-lines',0
7679071,Case-088,5,11,'1 or more discrete b-lines',1,0,0.818,'1 or more discrete b-lines',9,'no b-lines',1,'confluent b-lines',1
7679075,Case-045,30,18,'1 or more discrete b-lines',1,0,0.444,'1 or more discrete b-lines',8,'no b-lines',6,'confluent b-lines',4
7679086,Case-071,15,15,'1 or more discrete b-lines',1,0,0.8,'1 or more discrete b-lines',12,'no b-lines',3,'confluent b-lines',0
7679087,Case-036,40,23,'1 or more discrete b-lines',1,0,0.913,'1 or more discrete b-lines',21,'no b-lines',1,'confluent b-lines',1
7679103,Case-088,3,18,'1 or more discrete b-lines',1,0,0.889,'1 or more discrete b-lines',16,'no b-lines',2,'confluent b-lines',0
7679104,Case-035,9,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679117,Case-035,5,3,'no b-lines',0,0,1,'no b-lines',3,'confluent b-lines',0,'1 or more discrete b-lines',0
7679128,Case-074,11,21,'1 or more discrete b-lines',1,0,1,'1 or more discrete b-lines',21,'no b-lines',0,'confluent b-lines',0
7679140,Case-003,20,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7679146,Case-088,12,17,'1 or more discrete b-lines',1,0,1,'1 or more discrete b-lines',17,'no b-lines',0,'confluent b-lines',0
7679198,Case-017,13,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7679209,Case-077,13,18,'1 or more discrete b-lines',1,0,0.5,'1 or more discrete b-lines',9,'no b-lines',6,'confluent b-lines',3
7679226,Case-060,25,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7679230,Case-040,11,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679244,Case-021,16,39,'confluent b-lines',1,0,1,'confluent b-lines',39,'no b-lines',0,'1 or more discrete b-lines',0
7679245,Case-016,23,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7679305,Case-003,14,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679307,Case-039,12,27,'confluent b-lines',1,0,0.815,'confluent b-lines',22,'1 or more discrete b-lines',5,'no b-lines',0
7679317,Case-037,26,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679334,Case-044,27,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679335,Case-049,18,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679336,Case-038,10,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679351,Case-038,19,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7679352,Case-032,20,13,'no b-lines',0,0,1,'no b-lines',13,'confluent b-lines',0,'1 or more discrete b-lines',0
7679365,Case-043,22,30,'confluent b-lines',1,0,0.8,'confluent b-lines',24,'1 or more discrete b-lines',6,'no b-lines',0
7679372,Case-039,15,26,'confluent b-lines',1,0,1,'confluent b-lines',26,'no b-lines',0,'1 or more discrete b-lines',0
7679379,Case-067,11,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7679402,Case-040,16,4,'no b-lines',0,0,0.75,'no b-lines',3,'confluent b-lines',1,'1 or more discrete b-lines',0
7679423,Case-037,21,20,'confluent b-lines',1,0,0.65,'confluent b-lines',13,'1 or more discrete b-lines',7,'no b-lines',0
7679432,Case-044,24,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679449,Case-052,23,22,'confluent b-lines',1,0,0.545,'confluent b-lines',12,'1 or more discrete b-lines',10,'no b-lines',0
7679453,Case-080,31,18,'confluent b-lines',1,0,0.722,'confluent b-lines',13,'no b-lines',3,'1 or more discrete b-lines',2
7679454,Case-060,26,30,'confluent b-lines',1,0,0.9,'confluent b-lines',27,'1 or more discrete b-lines',3,'no b-lines',0
7679455,Case-043,16,21,'1 or more discrete b-lines',1,0,0.667,'1 or more discrete b-lines',14,'confluent b-lines',6,'no b-lines',1
7679464,Case-067,13,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679474,Case-087,8,18,'1 or more discrete b-lines',1,0,0.833,'1 or more discrete b-lines',15,'confluent b-lines',3,'no b-lines',0
7679475,Case-060,16,10,'no b-lines',0,0,1,'no b-lines',10,'confluent b-lines',0,'1 or more discrete b-lines',0
7679479,Case-045,24,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7679488,Case-039,18,25,'confluent b-lines',1,0,1,'confluent b-lines',25,'no b-lines',0,'1 or more discrete b-lines',0
7679497,Case-149,8,23,'confluent b-lines',1,0,0.913,'confluent b-lines',21,'1 or more discrete b-lines',2,'no b-lines',0
7679500,Case-151,21,5,'no b-lines',0,0,0.8,'no b-lines',4,'confluent b-lines',1,'1 or more discrete b-lines',0
7679513,Case-092,19,17,'1 or more discrete b-lines',1,0,0.471,'1 or more discrete b-lines',8,'no b-lines',6,'confluent b-lines',3
7679524,Case-151,16,1,'no b-lines',0,0,1,'no b-lines',1,'confluent b-lines',0,'1 or more discrete b-lines',0
7679526,Case-135,36,9,'no b-lines',0,0,0.778,'no b-lines',7,'confluent b-lines',1,'1 or more discrete b-lines',1
7679560,Case-107,5,5,'1 or more discrete b-lines',1,0,0.6,'1 or more discrete b-lines',3,'no b-lines',2,'confluent b-lines',0
7679563,Case-101,6,9,'no b-lines',0,0,0.889,'no b-lines',8,'1 or more discrete b-lines',1,'confluent b-lines',0
7679571,Case-157,12,6,'no b-lines',0,0,0.833,'no b-lines',5,'confluent b-lines',1,'1 or more discrete b-lines',0
7679574,Case-096,13,35,'confluent b-lines',1,0,0.971,'confluent b-lines',34,'1 or more discrete b-lines',1,'no b-lines',0
7679583,Case-117,13,22,'1 or more discrete b-lines',1,0,0.5,'1 or more discrete b-lines',11,'confluent b-lines',6,'no b-lines',5
7679597,Case-157,17,15,'1 or more discrete b-lines',1,0,0.667,'1 or more discrete b-lines',10,'confluent b-lines',5,'no b-lines',0
7679619,Case-101,2,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7679632,Case-146,28,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679648,Case-103,7,27,'confluent b-lines',1,0,0.741,'confluent b-lines',20,'1 or more discrete b-lines',7,'no b-lines',0
7679658,Case-164,19,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679664,Case-132,17,18,'1 or more discrete b-lines',1,0,0.833,'1 or more discrete b-lines',15,'no b-lines',3,'confluent b-lines',0
7679667,Case-102,9,17,'1 or more discrete b-lines',1,0,0.941,'1 or more discrete b-lines',16,'confluent b-lines',1,'no b-lines',0
7679683,Case-096,7,26,'1 or more discrete b-lines',1,0,0.692,'1 or more discrete b-lines',18,'confluent b-lines',8,'no b-lines',0
7679687,Case-162,4,10,'no b-lines',0,0,1,'no b-lines',10,'confluent b-lines',0,'1 or more discrete b-lines',0
7679693,Case-107,4,18,'1 or more discrete b-lines',1,0,0.722,'1 or more discrete b-lines',13,'confluent b-lines',5,'no b-lines',0
7679698,Case-105,3,23,'confluent b-lines',1,0,0.696,'confluent b-lines',16,'1 or more discrete b-lines',7,'no b-lines',0
7679723,Case-093,17,21,'1 or more discrete b-lines',1,0,0.857,'1 or more discrete b-lines',18,'confluent b-lines',2,'no b-lines',1
7679724,Case-155,15,2,'no b-lines',0,0,1,'no b-lines',2,'confluent b-lines',0,'1 or more discrete b-lines',0
7679733,Case-091,3,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679734,Case-116,4,20,'1 or more discrete b-lines',1,0,0.5,'1 or more discrete b-lines',10,'no b-lines',9,'confluent b-lines',1
7679742,Case-150,14,13,'no b-lines',0,0,0.923,'no b-lines',12,'1 or more discrete b-lines',1,'confluent b-lines',0
7679756,Case-157,19,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679759,Case-112,8,16,'1 or more discrete b-lines',1,0,0.688,'1 or more discrete b-lines',11,'no b-lines',4,'confluent b-lines',1
7679792,Case-112,7,28,'confluent b-lines',1,0,0.571,'confluent b-lines',16,'1 or more discrete b-lines',12,'no b-lines',0
7679823,Case-111,11,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679825,Case-163,7,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7679865,Case-168,12,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7679870,Case-091,10,8,'no b-lines',0,0,0.625,'no b-lines',5,'confluent b-lines',3,'1 or more discrete b-lines',0
7679902,Case-167,20,9,'no b-lines',0,0,1,'no b-lines',9,'confluent b-lines',0,'1 or more discrete b-lines',0
7679903,Case-101,4,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679911,Case-105,10,30,'confluent b-lines',1,0,0.9,'confluent b-lines',27,'1 or more discrete b-lines',3,'no b-lines',0
7679943,Case-162,7,10,'no b-lines',0,0,1,'no b-lines',10,'confluent b-lines',0,'1 or more discrete b-lines',0
7679946,Case-099,15,17,'1 or more discrete b-lines',1,0,0.706,'1 or more discrete b-lines',12,'confluent b-lines',5,'no b-lines',0
7679948,Case-091,1,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7679962,Case-167,15,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7679973,Case-093,20,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7679977,Case-139,17,10,'no b-lines',0,0,1,'no b-lines',10,'confluent b-lines',0,'1 or more discrete b-lines',0
7680010,Case-146,20,14,'1 or more discrete b-lines',1,0,0.786,'1 or more discrete b-lines',11,'confluent b-lines',3,'no b-lines',0
7680035,Case-174,24,6,'no b-lines',0,0,0.833,'no b-lines',5,'confluent b-lines',1,'1 or more discrete b-lines',0
7680051,Case-111,5,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7680062,Case-150,18,8,'no b-lines',0,0,0.75,'no b-lines',6,'1 or more discrete b-lines',2,'confluent b-lines',0
7680079,Case-126,2,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7680090,Case-156,29,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680099,Case-091,5,7,'no b-lines',0,0,0.857,'no b-lines',6,'confluent b-lines',1,'1 or more discrete b-lines',0
7680112,Case-170,38,16,'1 or more discrete b-lines',1,0,0.875,'1 or more discrete b-lines',14,'no b-lines',2,'confluent b-lines',0
7680113,Case-116,3,17,'1 or more discrete b-lines',1,0,0.647,'1 or more discrete b-lines',11,'confluent b-lines',6,'no b-lines',0
7680122,Case-093,13,10,'confluent b-lines',1,0,0.7,'confluent b-lines',7,'no b-lines',2,'1 or more discrete b-lines',1
7680123,Case-099,17,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680143,Case-141,19,16,'1 or more discrete b-lines',1,0,0.812,'1 or more discrete b-lines',13,'confluent b-lines',2,'no b-lines',1
7680173,Case-091,4,7,'no b-lines',0,0,0.857,'no b-lines',6,'1 or more discrete b-lines',1,'confluent b-lines',0
7680178,Case-141,27,10,'no b-lines',0,0,0.6,'no b-lines',6,'1 or more discrete b-lines',4,'confluent b-lines',0
7680185,Case-116,9,22,'no b-lines',0,0,0.5,'no b-lines',11,'confluent b-lines',6,'1 or more discrete b-lines',5
7680195,Case-123,27,20,'1 or more discrete b-lines',1,0,0.85,'1 or more discrete b-lines',17,'confluent b-lines',3,'no b-lines',0
7680204,Case-165,21,9,'no b-lines',0,0,1,'no b-lines',9,'confluent b-lines',0,'1 or more discrete b-lines',0
7680231,Case-163,9,14,'no b-lines',0,0,0.571,'no b-lines',8,'1 or more discrete b-lines',6,'confluent b-lines',0
7680248,Case-133,10,32,'confluent b-lines',1,0,0.906,'confluent b-lines',29,'1 or more discrete b-lines',3,'no b-lines',0
7680251,Case-170,23,26,'confluent b-lines',1,0,0.577,'confluent b-lines',15,'1 or more discrete b-lines',10,'no b-lines',1
7680253,Case-164,13,18,'1 or more discrete b-lines',1,0,0.778,'1 or more discrete b-lines',14,'no b-lines',4,'confluent b-lines',0
7680288,Case-150,12,8,'no b-lines',0,0,0.875,'no b-lines',7,'confluent b-lines',1,'1 or more discrete b-lines',0
7680304,Case-149,17,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7680305,Case-150,13,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7680319,Case-096,6,26,'confluent b-lines',1,0,0.846,'confluent b-lines',22,'1 or more discrete b-lines',4,'no b-lines',0
7680343,Case-096,11,33,'confluent b-lines',1,0,0.879,'confluent b-lines',29,'no b-lines',3,'1 or more discrete b-lines',1
7680369,Case-123,30,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7680371,Case-101,1,14,'confluent b-lines',1,0,0.571,'confluent b-lines',8,'1 or more discrete b-lines',6,'no b-lines',0
7680386,Case-164,15,12,'no b-lines',0,0,0.917,'no b-lines',11,'confluent b-lines',1,'1 or more discrete b-lines',0
7680419,Case-126,5,11,'no b-lines',0,0,1,'no b-lines',11,'confluent b-lines',0,'1 or more discrete b-lines',0
7680441,Case-111,13,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680456,Case-146,21,16,'1 or more discrete b-lines',1,0,0.438,'1 or more discrete b-lines',7,'confluent b-lines',5,'no b-lines',4
7680471,Case-126,3,20,'1 or more discrete b-lines',1,0,0.7,'1 or more discrete b-lines',14,'no b-lines',6,'confluent b-lines',0
7680479,Case-135,38,26,'1 or more discrete b-lines',1,0,0.654,'1 or more discrete b-lines',17,'no b-lines',9,'confluent b-lines',0
7680492,Case-200,11,17,'1 or more discrete b-lines',1,0,0.765,'1 or more discrete b-lines',13,'confluent b-lines',4,'no b-lines',0
7680495,Case-207,23,20,'confluent b-lines',1,0,0.6,'confluent b-lines',12,'1 or more discrete b-lines',7,'no b-lines',1
7680512,Case-200,18,18,'1 or more discrete b-lines',1,0,0.778,'1 or more discrete b-lines',14,'no b-lines',4,'confluent b-lines',0
7680516,Case-179,19,12,'1 or more discrete b-lines',1,0,0.75,'1 or more discrete b-lines',9,'confluent b-lines',3,'no b-lines',0
7680522,Case-179,13,2,'no b-lines',0,0,1,'no b-lines',2,'confluent b-lines',0,'1 or more discrete b-lines',0
7680530,Case-177,12,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680531,Case-215,16,6,'no b-lines',0,0,0.833,'no b-lines',5,'1 or more discrete b-lines',1,'confluent b-lines',0
7680538,Case-200,13,21,'1 or more discrete b-lines',1,0,0.81,'1 or more discrete b-lines',17,'confluent b-lines',4,'no b-lines',0
7680539,Case-215,22,7,'no b-lines',0,0,0.857,'no b-lines',6,'1 or more discrete b-lines',1,'confluent b-lines',0
7680541,Case-179,17,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
7680543,Case-186,18,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680550,Case-214,26,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7680558,Case-177,19,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680560,Case-182,10,7,'no b-lines',0,0,0.857,'no b-lines',6,'1 or more discrete b-lines',1,'confluent b-lines',0
7680570,Case-215,25,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7680587,Case-207,16,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7680611,Case-207,21,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680626,Case-179,15,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680633,Case-211,20,11,'no b-lines',0,0,1,'no b-lines',11,'confluent b-lines',0,'1 or more discrete b-lines',0
7680661,Case-214,21,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7680666,Case-197,16,16,'1 or more discrete b-lines',1,0,0.438,'confluent b-lines',7,'1 or more discrete b-lines',7,'no b-lines',2
7680671,Case-177,18,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7680700,Case-215,15,6,'no b-lines',0,0,1,'no b-lines',6,'confluent b-lines',0,'1 or more discrete b-lines',0
7680738,Case-197,13,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7680757,Case-207,15,4,'no b-lines',0,0,1,'no b-lines',4,'confluent b-lines',0,'1 or more discrete b-lines',0
7680767,Case-216,28,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7680774,Case-177,16,5,'no b-lines',0,0,1,'no b-lines',5,'confluent b-lines',0,'1 or more discrete b-lines',0
7680775,Case-177,17,8,'no b-lines',0,0,1,'no b-lines',8,'confluent b-lines',0,'1 or more discrete b-lines',0
7680784,Case-203,5,15,'no b-lines',0,0,0.933,'no b-lines',14,'1 or more discrete b-lines',1,'confluent b-lines',0
7680814,Case-179,16,7,'no b-lines',0,0,1,'no b-lines',7,'confluent b-lines',0,'1 or more discrete b-lines',0
